"s","x","y","d","ID","sex","genus","species"
0,NA,NA,"mothra01.0615.2206","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0615.2208","99.9%_s10g15","male","photinus","obscurellus"
2336,1629,701,"mothra01.0615.2210","99.9%_s10g15","male","photinus","obscurellus"
2209,1611,453,"mothra01.0615.2212","99.9%_s10g15","male","photinus","obscurellus"
4157,1674,579,"mothra01.0615.2212","99.9%_s10g15","male","photinus","obscurellus"
1999,640,139,"mothra01.0615.2214","99.9%_s10g15","male","photinus","obscurellus"
2425,565,499,"mothra01.0615.2216","99.9%_s10g15","male","photinus","obscurellus"
2380,1338,335,"mothra01.0615.2218","99.9%_s10g15","male","photinus","obscurellus"
2431,1452,1147,"mothra01.0615.2220","99.9%_s10g15","male","photinus","obscurellus"
2420,1319,1075,"mothra01.0615.2222","99.9%_s10g15","male","photinus","obscurellus"
254,260,264,"mothra01.0615.2224","99.9%_s10g15","male","photinus","obscurellus"
2329,1094,1448,"mothra01.0615.2224","99.9%_s10g15","male","photinus","obscurellus"
1390,1321,113,"mothra01.0615.2226","99.9%_s10g15","male","photinus","obscurellus"
2385,1438,1123,"mothra01.0615.2226","99.9%_s10g15","male","photinus","obscurellus"
1282,1778,1295,"mothra01.0615.2226","99.9%_s10g15","male","photinus","obscurellus"
2178,1420,1296,"mothra01.0615.2228","99.9%_s10g15","male","photinus","obscurellus"
2401,1429,680,"mothra01.0615.2230","99.9%_s10g15","male","photinus","obscurellus"
536,354,1532,"mothra01.0615.2232","99.9%_s10g15","male","photinus","obscurellus"
2498,1313,1094,"mothra01.0615.2234","99.9%_s10g15","male","photinus","obscurellus"
1887,97,1196,"mothra01.0615.2234","99.9%_s10g15","male","photinus","obscurellus"
2315,118,883,"mothra01.0615.2236","99.9%_s10g15","male","photinus","obscurellus"
4068,168,1307,"mothra01.0615.2238","99.9%_s10g15","male","photinus","obscurellus"
2331,315,1319,"mothra01.0615.2238","99.9%_s10g15","male","photinus","obscurellus"
2924,965,17,"mothra01.0615.2240","99.9%_s10g15","male","photinus","obscurellus"
2226,1171,1346,"mothra01.0615.2240","99.9%_s10g15","male","photinus","obscurellus"
1325,1450,215,"mothra01.0615.2242","99.9%_s10g15","male","photinus","obscurellus"
2004,1324,232,"mothra01.0615.2242","99.9%_s10g15","male","photinus","obscurellus"
2367,1646,983,"mothra01.0615.2244","99.9%_s10g15","male","photinus","obscurellus"
3015,1445,839,"mothra01.0615.2246","99.9%_s10g15","male","photinus","obscurellus"
2546,688,864,"mothra01.0615.2246","99.9%_s10g15","male","photinus","obscurellus"
4359,55,911,"mothra01.0615.2246","99.9%_s10g15","male","photinus","obscurellus"
1701,100,544,"mothra01.0615.2248","99.9%_s10g15","male","photinus","obscurellus"
2946,1467,978,"mothra01.0615.2248","99.9%_s10g15","male","photinus","obscurellus"
2423,1454,1132,"mothra01.0615.2248","99.9%_s10g15","male","photinus","obscurellus"
2503,1290,927,"mothra01.0615.2250","99.9%_s10g15","male","photinus","obscurellus"
918,377,1543,"mothra01.0615.2250","99.9%_s10g15","male","photinus","obscurellus"
2860,1585,754,"mothra01.0615.2252","99.9%_s10g15","male","photinus","obscurellus"
2443,188,1195,"mothra01.0615.2252","99.9%_s10g15","male","photinus","obscurellus"
6214,554,218,"mothra01.0615.2254","99.9%_s10g15","male","photinus","obscurellus"
2323,708,262,"mothra01.0615.2254","99.9%_s10g15","male","photinus","obscurellus"
425,1794,410,"mothra01.0615.2254","99.9%_s10g15","male","photinus","obscurellus"
2731,567,305,"mothra01.0615.2256","99.9%_s10g15","male","photinus","obscurellus"
2504,1251,522,"mothra01.0615.2256","99.9%_s10g15","male","photinus","obscurellus"
2428,587,1350,"mothra01.0615.2256","99.9%_s10g15","male","photinus","obscurellus"
924,355,178,"mothra01.0615.2258","99.9%_s10g15","male","photinus","obscurellus"
2076,1647,493,"mothra01.0615.2258","99.9%_s10g15","male","photinus","obscurellus"
2509,1142,1024,"mothra01.0615.2258","99.9%_s10g15","male","photinus","obscurellus"
942,143,1263,"mothra01.0615.2258","99.9%_s10g15","male","photinus","obscurellus"
1325,106,1264,"mothra01.0615.2258","99.9%_s10g15","male","photinus","obscurellus"
2053,163,273,"mothra01.0615.2300","99.9%_s10g15","male","photinus","obscurellus"
2702,711,916,"mothra01.0615.2300","99.9%_s10g15","male","photinus","obscurellus"
2329,1497,1459,"mothra01.0615.2300","99.9%_s10g15","male","photinus","obscurellus"
2526,305,385,"mothra01.0615.2302","99.9%_s10g15","male","photinus","obscurellus"
2414,496,778,"mothra01.0615.2302","99.9%_s10g15","male","photinus","obscurellus"
2791,619,1458,"mothra01.0615.2302","99.9%_s10g15","male","photinus","obscurellus"
327,58,630,"mothra01.0615.2304","99.9%_s10g15","male","photinus","obscurellus"
703,1340,1576,"mothra01.0615.2304","99.9%_s10g15","male","photinus","obscurellus"
2657,1302,1066,"mothra01.0615.2306","99.9%_s10g15","male","photinus","obscurellus"
2695,1755,1016,"mothra01.0615.2308","99.9%_s10g15","male","photinus","obscurellus"
3125,835,1243,"mothra01.0615.2308","99.9%_s10g15","male","photinus","obscurellus"
225,60,1103,"mothra01.0615.2310","99.9%_s10g15","male","photinus","obscurellus"
481,66,1127,"mothra01.0615.2310","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0615.2312","99.9%_s10g15","male","photinus","obscurellus"
2488,588,1069,"mothra01.0615.2314","99.9%_s10g15","male","photinus","obscurellus"
1391,1548,1448,"mothra01.0615.2314","99.9%_s10g15","male","photinus","obscurellus"
450,1513,1442,"mothra01.0615.2314","99.9%_s10g15","male","photinus","obscurellus"
1366,639,47,"mothra01.0615.2316","99.9%_s10g15","male","photinus","obscurellus"
2153,440,1563,"mothra01.0615.2318","99.9%_s10g15","male","photinus","obscurellus"
2529,538,1334,"mothra01.0615.2320","99.9%_s10g15","male","photinus","obscurellus"
1463,1308,1587,"mothra01.0615.2320","99.9%_s10g15","male","photinus","obscurellus"
254,252,272,"mothra01.0615.2322","99.9%_s10g15","male","photinus","obscurellus"
2309,1511,502,"mothra01.0615.2322","99.9%_s10g15","male","photinus","obscurellus"
2779,648,308,"mothra01.0615.2324","99.9%_s10g15","male","photinus","obscurellus"
2618,431,921,"mothra01.0615.2324","99.9%_s10g15","male","photinus","obscurellus"
2482,1664,857,"mothra01.0615.2326","99.9%_s10g15","male","photinus","obscurellus"
3555,790,22,"mothra01.0615.2328","99.9%_s10g15","male","photinus","obscurellus"
2821,102,1072,"mothra01.0615.2328","99.9%_s10g15","male","photinus","obscurellus"
2397,683,296,"mothra01.0615.2330","99.9%_s10g15","male","photinus","obscurellus"
2540,284,892,"mothra01.0615.2332","99.9%_s10g15","male","photinus","obscurellus"
409,1515,1447,"mothra01.0615.2332","99.9%_s10g15","male","photinus","obscurellus"
2702,513,1219,"mothra01.0615.2334","99.9%_s10g15","male","photinus","obscurellus"
2499,1664,1241,"mothra01.0615.2334","99.9%_s10g15","male","photinus","obscurellus"
2663,1299,301,"mothra01.0615.2336","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0615.2338","99.9%_s10g15","male","photinus","obscurellus"
913,90,497,"mothra01.0615.2340","99.9%_s10g15","male","photinus","obscurellus"
810,124,498,"mothra01.0615.2340","99.9%_s10g15","male","photinus","obscurellus"
3171,1704,642,"mothra01.0615.2342","99.9%_s10g15","male","photinus","obscurellus"
2392,1691,1197,"mothra01.0615.2344","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0615.2346","99.9%_s10g15","male","photinus","obscurellus"
3305,1121,1051,"mothra01.0615.2348","99.9%_s10g15","male","photinus","obscurellus"
3446,963,937,"mothra01.0615.2350","99.9%_s10g15","male","photinus","obscurellus"
1966,1079,166,"mothra01.0615.2352","99.9%_s10g15","male","photinus","obscurellus"
1520,69,604,"mothra01.0615.2352","99.9%_s10g15","male","photinus","obscurellus"
1140,1792,1013,"mothra01.0615.2354","99.9%_s10g15","male","photinus","obscurellus"
298,1752,996,"mothra01.0615.2354","99.9%_s10g15","male","photinus","obscurellus"
1614,1700,1213,"mothra01.0615.2354","99.9%_s10g15","male","photinus","obscurellus"
2620,1095,449,"mothra01.0615.2356","99.9%_s10g15","male","photinus","obscurellus"
2269,1159,1484,"mothra01.0615.2356","99.9%_s10g15","male","photinus","obscurellus"
997,1734,328,"mothra01.0615.2358","99.9%_s10g15","male","photinus","obscurellus"
401,28,77,"mothra01.0616.0000","99.9%_s10g15","male","photinus","obscurellus"
2740,884,293,"mothra01.0616.0002","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0004","99.9%_s10g15","male","photinus","obscurellus"
359,1690,1231,"mothra01.0616.0006","99.9%_s10g15","male","photinus","obscurellus"
1980,1741,802,"mothra01.0616.0008","99.9%_s10g15","male","photinus","obscurellus"
429,1681,1242,"mothra01.0616.0008","99.9%_s10g15","male","photinus","obscurellus"
794,1428,182,"mothra01.0616.0010","99.9%_s10g15","male","photinus","obscurellus"
2485,170,619,"mothra01.0616.0012","99.9%_s10g15","male","photinus","obscurellus"
1598,1475,243,"mothra01.0616.0014","99.9%_s10g15","male","photinus","obscurellus"
2329,49,956,"mothra01.0616.0014","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0016","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0018","99.9%_s10g15","male","photinus","obscurellus"
1825,92,1170,"mothra01.0616.0020","99.9%_s10g15","male","photinus","obscurellus"
1237,1486,247,"mothra01.0616.0022","99.9%_s10g15","male","photinus","obscurellus"
1838,381,165,"mothra01.0616.0024","99.9%_s10g15","male","photinus","obscurellus"
2754,1359,923,"mothra01.0616.0024","99.9%_s10g15","male","photinus","obscurellus"
1982,32,1103,"mothra01.0616.0026","99.9%_s10g15","male","photinus","obscurellus"
913,82,1104,"mothra01.0616.0026","99.9%_s10g15","male","photinus","obscurellus"
822,858,10,"mothra01.0616.0028","99.9%_s10g15","male","photinus","obscurellus"
2788,226,475,"mothra01.0616.0028","99.9%_s10g15","male","photinus","obscurellus"
2607,1433,1052,"mothra01.0616.0030","99.9%_s10g15","male","photinus","obscurellus"
2485,1536,970,"mothra01.0616.0032","99.9%_s10g15","male","photinus","obscurellus"
547,1321,106,"mothra01.0616.0034","99.9%_s10g15","male","photinus","obscurellus"
1911,120,1232,"mothra01.0616.0034","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0036","99.9%_s10g15","male","photinus","obscurellus"
2724,319,1011,"mothra01.0616.0038","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0040","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0042","99.9%_s10g15","male","photinus","obscurellus"
2787,1115,687,"mothra01.0616.0044","99.9%_s10g15","male","photinus","obscurellus"
2794,456,662,"mothra01.0616.0046","99.9%_s10g15","male","photinus","obscurellus"
375,6,455,"mothra01.0616.0048","99.9%_s10g15","male","photinus","obscurellus"
1970,113,520,"mothra01.0616.0050","99.9%_s10g15","male","photinus","obscurellus"
1643,1767,919,"mothra01.0616.0052","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0054","99.9%_s10g15","male","photinus","obscurellus"
1593,1107,38,"mothra01.0616.0056","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0058","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0100","99.9%_s10g15","male","photinus","obscurellus"
2468,579,845,"mothra01.0616.0102","99.9%_s10g15","male","photinus","obscurellus"
2515,1744,1080,"mothra01.0616.0102","99.9%_s10g15","male","photinus","obscurellus"
2473,139,256,"mothra01.0616.0104","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0616.0106","99.9%_s10g15","male","photinus","obscurellus"
1303,85,626,"mothra01.0616.0108","99.9%_s10g15","male","photinus","obscurellus"
1672,35,634,"mothra01.0616.0108","99.9%_s10g15","male","photinus","obscurellus"
420,77,561,"mothra01.0616.0110","99.9%_s10g15","male","photinus","obscurellus"
2430,346,800,"mothra01.0616.0112","99.9%_s10g15","male","photinus","obscurellus"
2412,1251,1136,"mothra01.0616.0114","99.9%_s10g15","male","photinus","obscurellus"
2283,1606,457,"mothra01.0616.0116","99.9%_s10g15","male","photinus","obscurellus"
2818,812,706,"mothra01.0616.0118","99.9%_s10g15","male","photinus","obscurellus"
1732,198,1355,"mothra01.0616.0118","99.9%_s10g15","male","photinus","obscurellus"
3113,1620,449,"mothra01.0616.0120","99.9%_s10g15","male","photinus","obscurellus"
2425,1115,1425,"mothra01.0616.0120","99.9%_s10g15","male","photinus","obscurellus"
1990,881,100,"mothra01.0616.0122","99.9%_s10g15","male","photinus","obscurellus"
2571,310,1045,"mothra01.0616.0122","99.9%_s10g15","male","photinus","obscurellus"
2810,786,820,"mothra01.0616.0124","99.9%_s10g15","male","photinus","obscurellus"
2513,1387,1215,"mothra01.0616.0124","99.9%_s10g15","male","photinus","obscurellus"
2134,929,229,"mothra01.0616.0126","99.9%_s10g15","male","photinus","obscurellus"
2582,1631,1016,"mothra01.0616.0126","99.9%_s10g15","male","photinus","obscurellus"
2479,1359,715,"mothra01.0616.0128","99.9%_s10g15","male","photinus","obscurellus"
2619,1305,954,"mothra01.0616.0128","99.9%_s10g15","male","photinus","obscurellus"
2562,170,628,"mothra01.0616.0130","99.9%_s10g15","male","photinus","obscurellus"
2343,1689,891,"mothra01.0616.0130","99.9%_s10g15","male","photinus","obscurellus"
2586,473,330,"mothra01.0616.0132","99.9%_s10g15","male","photinus","obscurellus"
2824,58,989,"mothra01.0616.0132","99.9%_s10g15","male","photinus","obscurellus"
993,135,1587,"mothra01.0616.0132","99.9%_s10g15","male","photinus","obscurellus"
2719,1465,452,"mothra01.0616.0134","99.9%_s10g15","male","photinus","obscurellus"
2723,482,881,"mothra01.0616.0136","99.9%_s10g15","male","photinus","obscurellus"
1409,58,878,"mothra01.0616.0136","99.9%_s10g15","male","photinus","obscurellus"
