s,x,y,d,ID,sex,genus,species
0,NA,NA,mothra03.0810.0744,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0746,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0748,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0750,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0752,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0754,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0756,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0758,99.9%_s10g15,female,ostrinia,nubilalis
827,357,214,mothra03.0810.0800,99.9%_s10g15,female,ostrinia,nubilalis
1314,404,243,mothra03.0810.0800,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0802,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0804,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0806,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0808,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0810,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0812,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0814,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0816,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0818,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0820,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0822,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0824,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0826,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0828,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0830,99.9%_s10g15,female,ostrinia,nubilalis
315,297,268,mothra03.0810.0832,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0834,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0836,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0838,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0840,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0842,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0844,99.9%_s10g15,female,ostrinia,nubilalis
2.00E+06,0,0,mothra03.0810.0846,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0848,99.9%_s10g15,female,ostrinia,nubilalis
240,296,270,mothra03.0810.0850,99.9%_s10g15,female,ostrinia,nubilalis
315,298,318,mothra03.0810.0850,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0852,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0854,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0856,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0858,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0900,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0902,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0904,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0906,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0908,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0910,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0912,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0914,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0916,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0918,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0920,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0922,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0924,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0926,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0928,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0930,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0932,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0934,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0936,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0938,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0940,99.9%_s10g15,female,ostrinia,nubilalis
225,296,268,mothra03.0810.0942,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0944,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0946,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0948,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0950,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0952,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0954,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0956,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0958,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1000,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1002,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1004,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1006,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1008,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1010,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1012,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1014,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1016,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1018,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1020,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1022,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1024,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1026,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1028,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1030,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1032,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1034,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1036,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1038,99.9%_s10g15,female,ostrinia,nubilalis
225,298,266,mothra03.0810.1040,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1042,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1044,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1046,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1048,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1050,99.9%_s10g15,female,ostrinia,nubilalis
374,298,265,mothra03.0810.1052,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1054,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1056,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1058,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1100,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1102,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1104,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1106,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1108,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1110,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1112,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1114,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1116,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1118,99.9%_s10g15,female,ostrinia,nubilalis
349,298,267,mothra03.0810.1120,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1122,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1124,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1126,99.9%_s10g15,female,ostrinia,nubilalis
38745,999,1572,mothra03.0810.1128,99.9%_s10g15,female,ostrinia,nubilalis
1111,583,1572,mothra03.0810.1128,99.9%_s10g15,female,ostrinia,nubilalis
23935,1583,1575,mothra03.0810.1130,99.9%_s10g15,female,ostrinia,nubilalis
24777,320,1583,mothra03.0810.1130,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.1132,99.9%_s10g15,female,ostrinia,nubilalis
